x,a,b,c,d,index_value
3,221,171,277,113,421
4,183,166,277,111,369
5,182,159,273,111,321
6,165,154,255,104,312
7,89,152,247,85,307
8,67,149,243,78,317
9,57,142,223,70,302
10,38,135,207,64,257
11,24,127,215,56,229
12,28,125,207,52,213
13,36,125,193,50,210
14,45,124,189,49,204
15,45,122,203,49,199
16,44,119,199,48,199
17,40,114,186,44,191
18,39,113,175,42,190
19,23,112,184,25,190
20,27,113,189,24,193
21,29,114,183,24,210
22,60,121,174,41,233
23,90,127,167,51,244
24,104,136,196,61,269
25,118,141,217,62,281
26,119,143,214,63,289
27,123,141,207,64,279
28,123,134,210,64,251
29,122,130,213,61,243
30,106,123,199,48,236
31,108,120,191,48,230
32,108,119,183,48,230
33,109,123,191,46,230
34,109,124,193,44,232
35,108,125,192,44,245
36,107,121,182,39,228
37,106,118,175,39,220
38,106,111,180,36,206
39,109,109,174,36,205
40,109,106,163,35,201
41,117,106,156,35,203
42,117,107,169,37,204
43,120,108,172,39,207
44,125,111,167,43,212
45,125,113,166,44,226
46,125,114,167,44,230
47,126,115,178,45,234
48,135,115,178,48,242
49,135,117,178,49,252
50,135,115,173,49,257
51,134,115,181,48,252
52,131,111,177,42,237
53,130,110,169,41,233
54,129,108,161,41,228
55,128,108,159,35,236
56,129,109,168,35,241
57,129,105,171,35,232
58,128,103,161,34,231
59,119,96,154,23,199
60,118,95,157,22,198
61,119,96,154,18,196
62,120,99,150,19,203
63,120,101,149,20,211
64,121,101,145,20,211
65,121,101,150,20,208
66,120,103,149,16,204
67,119,104,147,15,201
68,122,104,145,15,195
69,122,100,147,14,179
70,121,99,140,13,176
71,116,96,133,6,164
72,117,100,130,8,172
73,126,105,129,15,191
74,128,108,138,18,198
75,130,113,150,19,213
76,135,117,149,26,219
77,140,120,149,31,227
78,143,124,162,34,235
79,149,127,172,40,247
80,152,130,172,44,253
82,171,143,172,67,289
83,176,148,190,75,305
84,176,156,207,76,322
85,186,162,212,87,330
86,188,165,215,91,340
87,190,170,229,93,345
88,193,172,236,96,361
89,193,174,235,99,367
90,193,173,235,99,370
91,192,168,232,99,362
92,189,163,226,94,338
93,187,157,214,89,323
94,187,155,207,89,318
95,187,150,199,89,295
96,185,149,195,85,289
97,182,145,195,80,271
98,180,142,189,79,265
99,175,142,183,70,263
100,176,143,176,69,270
101,178,144,182,71,287
102,178,141,182,72,278
103,179,139,175,73,284
104,185,138,170,81,277
105,185,139,173,82,279
106,187,142,176,85,295
107,190,145,176,89,308
108,193,148,178,94,308
109,195,151,178,97,329
110,197,152,185,100,335
111,201,155,188,108,348
112,203,156,188,111,356
119,204,145,180,112,327
120,204,146,178,113,331
126,210,144,171,117,349
127,212,146,173,121,363
128,212,147,179,123,363
129,212,145,182,124,363
130,212,141,179,121,345
131,211,137,173,116,333
139,205,132,169,113,330
142,209,137,170,117,355
143,209,138,171,119,357
144,209,136,171,119,358
145,209,136,167,118,358
146,208,136,170,117,358
147,210,138,169,117,363
148,215,141,169,118,375
149,215,145,172,123,386
150,215,147,180,130,397
151,214,147,190,129,391
152,214,145,188,130,386
153,214,143,185,129,377
154,214,142,181,128,377
155,213,140,181,124,373
156,211,138,177,120,373
157,209,136,172,119,377
158,208,135,169,118,378
159,208,135,169,117,378
160,208,134,172,116,371
164,210,136,173,117,393
165,213,138,174,122,405
166,216,142,176,125,422
167,217,143,176,130,428
168,218,145,180,137,437
169,219,144,185,139,430
170,219,142,185,141,425
171,219,140,178,142,414
172,219,138,174,139,410
173,218,136,177,138,405
174,218,134,176,138,401
175,218,131,171,139,393
176,218,129,166,141,384
177,218,125,163,138,380
178,217,123,163,136,365
179,216,119,157,133,360
180,215,118,152,132,348
181,214,115,147,132,342
182,214,114,146,132,338
183,214,112,143,130,332
184,213,111,140,129,331
185,213,110,137,128,329
186,212,109,135,128,328
187,212,109,137,128,326
188,212,108,138,129,326
189,213,107,133,129,329
190,213,107,129,130,334
191,214,107,132,132,339
192,214,106,132,130,336
193,214,105,131,129,335
194,216,107,129,130,338
195,218,108,132,133,344
196,219,109,136,140,356
197,220,111,136,143,360
198,220,112,138,146,370
199,221,113,138,147,375
200,223,115,138,148,385
201,225,116,140,152,388
202,227,117,141,156,394
203,229,117,140,160,392
204,229,117,139,165,387
205,229,115,139,169,375
206,229,113,137,168,371
207,229,110,133,167,361
208,228,107,129,166,355
209,228,104,125,164,341
210,227,102,124,159,334
211,225,102,121,158,333
212,225,103,120,158,333
213,226,104,120,160,345
214,229,105,123,163,351
215,230,106,124,166,358
216,230,107,123,171,357
217,229,106,123,170,357
218,230,107,122,170,360
219,230,108,124,172,365
220,231,108,126,175,369
221,231,108,125,175,368
222,232,108,122,176,369
223,233,109,124,178,370
224,234,109,123,182,372
225,234,108,122,184,366
226,235,108,119,185,366
227,235,107,119,185,362
228,235,107,120,184,361
229,235,107,119,185,349
230,235,105,115,187,347
231,235,104,114,187,337
232,235,103,114,187,332
233,235,102,111,187,334
234,235,102,110,187,328
235,235,104,110,186,327
236,236,105,110,187,329
237,236,106,113,189,339
238,237,106,114,191,341
239,237,106,111,193,347
240,237,107,111,195,351
241,239,108,113,196,355
242,240,109,114,197,357
243,240,109,114,200,357
244,240,108,114,200,356
245,240,108,111,201,357
246,240,108,114,203,359
247,241,110,114,203,363
248,243,111,114,204,369
249,243,112,115,207,370
250,242,110,118,206,363
251,241,109,117,205,361
252,241,107,113,206,357
253,241,108,112,208,359
254,241,108,112,209,359
255,241,108,112,211,355
256,242,107,110,211,353
257,243,106,108,211,355
258,243,106,107,212,355
259,243,106,109,213,353
260,245,106,109,214,354
261,245,107,108,217,358
262,245,108,109,219,363
263,246,108,110,220,365
264,246,108,112,220,364
265,245,108,111,217,361
266,243,107,110,216,360
267,243,107,110,216,356
268,244,107,110,216,355
270,245,108,110,219,365
271,249,112,110,221,374
272,251,114,110,223,380
273,252,118,119,225,391
274,252,118,126,239,394
275,254,120,126,242,394
276,255,121,128,244,395
277,256,121,132,251,393
