x,a,b,c,d,index_value
5,133,116,229,110,349
6,44,111,227,113,357
11,123,115,220,114,394
12,122,105,216,106,381
13,42,98,203,107,366
14,47,92,193,111,365
15,80,96,191,114,383
16,99,101,191,114,385
17,103,104,195,114,395
18,103,101,193,113,388
19,102,100,186,107,385
20,66,92,182,107,377
21,64,88,182,99,369
22,29,83,172,100,364
23,23,84,169,103,370
24,54,89,167,106,385
25,68,95,172,109,398
26,82,100,174,113,403
28,132,114,177,116,435
29,162,122,182,121,450
30,170,126,187,128,460
31,170,124,188,129,457
32,172,121,185,129,449
33,172,114,181,130,442
34,171,110,178,130,431
35,171,105,172,130,428
36,173,103,167,131,426
37,185,104,164,132,426
38,190,108,164,136,438
39,196,111,168,138,445
40,196,114,170,139,455
41,202,116,168,141,464
42,207,118,168,143,465
43,219,122,171,145,473
44,219,121,173,148,469
45,220,120,171,148,468
46,220,116,167,146,456
47,220,109,164,144,444
48,219,104,161,143,430
49,206,94,155,140,410
50,198,89,149,139,388
51,193,87,145,140,380
52,193,90,147,143,385
53,194,94,149,144,393
54,194,97,149,144,409
55,198,98,147,146,410
56,204,96,146,148,408
57,204,95,145,149,402
58,203,95,142,149,401
59,205,99,141,150,408
60,216,104,141,153,425
61,216,107,146,156,431
62,222,110,148,157,447
63,225,113,146,160,448
64,232,114,146,162,462
65,239,117,149,166,465
66,240,119,150,168,475
67,242,118,150,169,471
68,242,116,150,168,470
69,241,111,147,167,457
70,239,108,144,166,450
71,234,103,141,164,434
72,232,100,136,164,426
73,227,97,131,164,419
74,224,94,129,164,417
75,223,93,129,163,415
76,221,88,125,162,401
77,219,86,122,161,399
78,216,82,118,159,387
79,214,80,118,158,389
80,209,79,115,152,389
81,206,74,115,146,378
82,203,66,111,139,365
83,193,58,105,137,339
84,181,51,100,136,328
85,160,50,99,136,320
86,160,56,98,138,333
87,161,60,102,136,339
88,161,60,107,134,344
89,160,57,104,132,339
90,154,54,99,132,334
91,149,53,97,131,334
92,148,55,97,130,335
93,146,56,100,129,330
94,144,56,99,129,330
95,144,59,96,131,329
96,156,67,96,134,341
97,158,70,102,139,345
98,160,79,108,141,360
99,164,80,109,142,363
100,164,83,111,143,365
101,167,86,111,144,366
102,168,88,113,146,369
103,169,91,114,147,372
104,169,90,114,146,367
105,168,88,112,146,360
106,167,85,110,145,355
107,166,81,108,143,347
108,165,79,105,142,340
109,161,75,101,141,333
110,160,74,100,141,327
111,159,76,100,142,331
112,160,79,101,142,335
113,160,83,103,142,344
114,159,83,103,140,338
115,158,80,102,135,332
116,156,73,98,133,308
117,152,67,93,131,289
118,149,62,87,131,275
119,140,60,86,131,262
120,141,61,86,132,258
121,141,61,88,132,257
122,141,59,86,127,248
123,139,58,86,126,243
124,135,57,83,126,235
125,133,57,85,124,228
126,133,57,84,123,226
127,129,55,83,120,218
128,127,53,81,118,214
133,123,65,85,119,217
134,125,71,91,123,224
135,125,76,93,124,226
136,125,79,95,123,230
137,125,80,95,123,231
