x,a,b,c,d,index_value,label
5,133,116,229,110,349,1
6,44,111,227,113,357,1
11,123,115,220,114,394,1
12,122,105,216,106,381,1
13,42,98,203,107,366,1
14,47,92,193,111,365,1
15,80,96,191,114,383,1
16,99,101,191,114,385,1
17,103,104,195,114,395,1
18,103,101,193,113,388,0
19,102,100,186,107,385,1
20,66,92,182,107,377,0
21,64,88,182,99,369,1
22,29,83,172,100,364,1
23,23,84,169,103,370,1
24,54,89,167,106,385,1
25,68,95,172,109,398,1
26,82,100,174,113,403,1
28,132,114,177,116,435,1
29,162,122,182,121,450,1
30,170,126,187,128,460,1
31,170,124,188,129,457,1
32,172,121,185,129,449,1
33,172,114,181,130,442,1
34,171,110,178,130,431,1
35,171,105,172,130,428,1
36,173,103,167,131,426,1
37,185,104,164,132,426,1
38,190,108,164,136,438,1
39,196,111,168,138,445,1
40,196,114,170,139,455,1
41,202,116,168,141,464,1
42,207,118,168,143,465,1
43,219,122,171,145,473,1
44,219,121,173,148,469,1
45,220,120,171,148,468,1
46,220,116,167,146,456,1
47,220,109,164,144,444,1
48,219,104,161,143,430,1
49,206,94,155,140,410,1
50,198,89,149,139,388,1
51,193,87,145,140,380,1
52,193,90,147,143,385,1
53,194,94,149,144,393,1
54,194,97,149,144,409,1
55,198,98,147,146,410,1
56,204,96,146,148,408,1
57,204,95,145,149,402,1
58,203,95,142,149,401,1
59,205,99,141,150,408,1
60,216,104,141,153,425,1
61,216,107,146,156,431,1
62,222,110,148,157,447,1
63,225,113,146,160,448,1
64,232,114,146,162,462,1
65,239,117,149,166,465,1
66,240,119,150,168,475,1
67,242,118,150,169,471,1
68,242,116,150,168,470,1
69,241,111,147,167,457,1
70,239,108,144,166,450,1
71,234,103,141,164,434,1
72,232,100,136,164,426,1
73,227,97,131,164,419,1
74,224,94,129,164,417,1
75,223,93,129,163,415,1
76,221,88,125,162,401,1
77,219,86,122,161,399,1
78,216,82,118,159,387,1
79,214,80,118,158,389,1
80,209,79,115,152,389,1
81,206,74,115,146,378,1
82,203,66,111,139,365,1
83,193,58,105,137,339,1
84,181,51,100,136,328,1
85,160,50,99,136,320,1
86,160,56,98,138,333,1
87,161,60,102,136,339,1
88,161,60,107,134,344,1
89,160,57,104,132,339,1
90,154,54,99,132,334,1
91,149,53,97,131,334,1
92,148,55,97,130,335,1
93,146,56,100,129,330,1
94,144,56,99,129,330,1
95,144,59,96,131,329,1
96,156,67,96,134,341,1
97,158,70,102,139,345,1
98,160,79,108,141,360,1
99,164,80,109,142,363,1
100,164,83,111,143,365,1
101,167,86,111,144,366,1
102,168,88,113,146,369,1
103,169,91,114,147,372,1
104,169,90,114,146,367,1
105,168,88,112,146,360,1
106,167,85,110,145,355,1
107,166,81,108,143,347,1
108,165,79,105,142,340,1
109,161,75,101,141,333,1
110,160,74,100,141,327,1
111,159,76,100,142,331,1
112,160,79,101,142,335,1
113,160,83,103,142,344,1
114,159,83,103,140,338,1
115,158,80,102,135,332,1
116,156,73,98,133,308,1
117,152,67,93,131,289,1
118,149,62,87,131,275,1
119,140,60,86,131,262,1
120,141,61,86,132,258,1
121,141,61,88,132,257,1
122,141,59,86,127,248,1
123,139,58,86,126,243,1
124,135,57,83,126,235,1
125,133,57,85,124,228,1
126,133,57,84,123,226,1
127,129,55,83,120,218,1
128,127,53,81,118,214,1
133,123,65,85,119,217,1
134,125,71,91,123,224,1
135,125,76,93,124,226,1
136,125,79,95,123,230,1
137,125,80,95,123,231,1
139,128,79,95,125,229,1
140,128,79,94,125,228,1
141,127,78,93,125,230,1
142,127,79,91,124,232,1
143,127,79,91,124,226,1
144,126,78,90,123,222,1
145,125,74,88,120,203,1
146,124,70,84,118,193,1
147,122,66,80,117,180,1
148,118,66,78,117,181,1
149,120,69,77,119,186,1
150,120,73,81,119,195,1
151,122,76,82,120,200,1
152,124,78,84,123,203,1
153,128,83,84,125,215,1
154,129,84,84,127,219,1
155,132,90,86,129,234,1
156,135,92,87,131,236,1
157,136,97,90,134,249,1
158,137,98,91,135,253,1
159,139,99,91,135,258,1
160,139,97,91,135,251,1
161,138,95,91,135,249,1
162,137,93,86,135,242,1
163,139,95,85,137,246,1
164,141,96,85,139,250,1
165,141,95,85,133,247,1
166,141,88,83,130,225,1
167,139,86,78,128,216,1
168,134,77,73,126,194,1
169,129,76,71,125,188,1
170,127,75,69,125,187,1
171,125,77,69,124,190,1
172,124,78,68,123,191,1
173,124,79,68,123,194,1
174,123,81,69,123,199,1
176,123,85,69,123,212,1
177,124,88,69,124,223,1
178,126,92,70,126,228,1
179,127,95,73,127,240,1
180,128,97,75,127,243,1
181,129,96,75,128,243,1
182,129,95,74,128,241,1
183,128,92,72,128,236,1
184,128,92,71,128,239,1
185,128,92,69,128,238,1
186,128,93,69,128,239,1
187,129,94,68,128,242,1
188,130,95,68,130,246,1
189,130,96,68,130,252,1
190,130,96,68,129,253,1
191,129,96,68,129,256,1
192,129,95,67,129,255,1
193,129,94,66,127,248,1
194,128,92,66,125,244,1
195,127,89,63,123,238,1
196,125,86,60,120,227,1
197,123,83,58,119,225,1
198,120,80,55,118,213,1
199,118,77,53,117,209,1
200,118,77,51,116,205,1
205,111,68,48,113,165,1
206,109,63,44,100,153,1
207,96,58,44,98,134,1
208,94,54,42,95,121,1
209,90,53,41,89,118,1
210,86,42,39,84,92,1
211,81,41,39,78,89,1
212,76,29,34,61,52,1
213,58,28,34,53,47,1
