x,a,b,c,d,index_value,label
5,133,116,229,110,349,0
6,44,111,227,113,357,0
11,123,115,220,114,394,0
12,122,105,216,106,381,0
13,42,98,203,107,366,0
14,47,92,193,111,365,0
15,80,96,191,114,383,0
16,99,101,191,114,385,0
17,103,104,195,114,395,0
18,103,101,193,113,388,0
19,102,100,186,107,385,0
20,66,92,182,107,377,0
21,64,88,182,99,369,0
22,29,83,172,100,364,0
23,23,84,169,103,370,0
24,54,89,167,106,385,0
25,68,95,172,109,398,0
26,82,100,174,113,403,0
28,132,114,177,116,435,0
29,162,122,182,121,450,0
30,170,126,187,128,460,0
31,170,124,188,129,457,0
32,172,121,185,129,449,0
33,172,114,181,130,442,0
34,171,110,178,130,431,0
35,171,105,172,130,428,0
36,173,103,167,131,426,0
37,185,104,164,132,426,0
38,190,108,164,136,438,0
39,196,111,168,138,445,0
40,196,114,170,139,455,0
41,202,116,168,141,464,0
42,207,118,168,143,465,0
43,219,122,171,145,473,0
44,219,121,173,148,469,0
45,220,120,171,148,468,0
46,220,116,167,146,456,0
47,220,109,164,144,444,0
48,219,104,161,143,430,0
49,206,94,155,140,410,0
50,198,89,149,139,388,0
51,193,87,145,140,380,0
52,193,90,147,143,385,0
53,194,94,149,144,393,0
54,194,97,149,144,409,0
55,198,98,147,146,410,0
56,204,96,146,148,408,0
57,204,95,145,149,402,0
58,203,95,142,149,401,0
59,205,99,141,150,408,0
60,216,104,141,153,425,0
61,216,107,146,156,431,0
62,222,110,148,157,447,0
63,225,113,146,160,448,0
64,232,114,146,162,462,0
65,239,117,149,166,465,0
66,240,119,150,168,475,0
67,242,118,150,169,471,0
68,242,116,150,168,470,0
69,241,111,147,167,457,0
70,239,108,144,166,450,0
71,234,103,141,164,434,0
72,232,100,136,164,426,0
73,227,97,131,164,419,0
74,224,94,129,164,417,0
75,223,93,129,163,415,0
76,221,88,125,162,401,0
77,219,86,122,161,399,0
78,216,82,118,159,387,0
79,214,80,118,158,389,0
80,209,79,115,152,389,0
81,206,74,115,146,378,0
82,203,66,111,139,365,0
83,193,58,105,137,339,0
84,181,51,100,136,328,0
85,160,50,99,136,320,0
86,160,56,98,138,333,0
87,161,60,102,136,339,0
88,161,60,107,134,344,0
89,160,57,104,132,339,0
90,154,54,99,132,334,0
91,149,53,97,131,334,0
92,148,55,97,130,335,0
93,146,56,100,129,330,0
94,144,56,99,129,330,0
95,144,59,96,131,329,0
96,156,67,96,134,341,0
97,158,70,102,139,345,0
98,160,79,108,141,360,0
99,164,80,109,142,363,0
100,164,83,111,143,365,0
101,167,86,111,144,366,0
102,168,88,113,146,369,0
103,169,91,114,147,372,0
104,169,90,114,146,367,0
105,168,88,112,146,360,0
106,167,85,110,145,355,0
107,166,81,108,143,347,0
108,165,79,105,142,340,0
109,161,75,101,141,333,0
110,160,74,100,141,327,0
111,159,76,100,142,331,0
112,160,79,101,142,335,0
113,160,83,103,142,344,0
114,159,83,103,140,338,0
115,158,80,102,135,332,0
116,156,73,98,133,308,0
117,152,67,93,131,289,0
118,149,62,87,131,275,0
119,140,60,86,131,262,0
120,141,61,86,132,258,0
121,141,61,88,132,257,0
122,141,59,86,127,248,0
123,139,58,86,126,243,0
124,135,57,83,126,235,0
125,133,57,85,124,228,0
126,133,57,84,123,226,0
127,129,55,83,120,218,0
128,127,53,81,118,214,0
133,123,65,85,119,217,0
134,125,71,91,123,224,0
135,125,76,93,124,226,0
136,125,79,95,123,230,0
137,125,80,95,123,231,0
139,128,79,95,125,229,0
140,128,79,94,125,228,0
141,127,78,93,125,230,0
142,127,79,91,124,232,0
143,127,79,91,124,226,0
144,126,78,90,123,222,0
145,125,74,88,120,203,0
146,124,70,84,118,193,0
147,122,66,80,117,180,0
148,118,66,78,117,181,0
149,120,69,77,119,186,0
150,120,73,81,119,195,0
151,122,76,82,120,200,0
152,124,78,84,123,203,0
153,128,83,84,125,215,0
154,129,84,84,127,219,0
155,132,90,86,129,234,0
156,135,92,87,131,236,0
157,136,97,90,134,249,0
158,137,98,91,135,253,0
159,139,99,91,135,258,0
160,139,97,91,135,251,0
161,138,95,91,135,249,0
162,137,93,86,135,242,0
163,139,95,85,137,246,0
164,141,96,85,139,250,0
165,141,95,85,133,247,0
166,141,88,83,130,225,0
167,139,86,78,128,216,0
168,134,77,73,126,194,0
169,129,76,71,125,188,0
170,127,75,69,125,187,0
171,125,77,69,124,190,0
172,124,78,68,123,191,0
173,124,79,68,123,194,0
174,123,81,69,123,199,0
176,123,85,69,123,212,0
177,124,88,69,124,223,0
178,126,92,70,126,228,0
179,127,95,73,127,240,0
180,128,97,75,127,243,0
181,129,96,75,128,243,0
182,129,95,74,128,241,0
183,128,92,72,128,236,0
184,128,92,71,128,239,0
185,128,92,69,128,238,0
186,128,93,69,128,239,0
187,129,94,68,128,242,0
188,130,95,68,130,246,0
189,130,96,68,130,252,0
190,130,96,68,129,253,0
191,129,96,68,129,256,0
192,129,95,67,129,255,0
193,129,94,66,127,248,0
194,128,92,66,125,244,0
195,127,89,63,123,238,0
196,125,86,60,120,227,0
197,123,83,58,119,225,0
198,120,80,55,118,213,0
199,118,77,53,117,209,0
200,118,77,51,116,205,0
205,111,68,48,113,165,0
206,109,63,44,100,153,0
207,96,58,44,98,134,0
208,94,54,42,95,121,0
209,90,53,41,89,118,0
210,86,42,39,84,92,0
211,81,41,39,78,89,0
212,76,29,34,61,52,0
213,58,28,34,53,47,0
214,51,20,34,51,39,0
215,47,19,35,40,44,0
216,40,16,34,37,48,0
217,38,16,35,35,51,0
218,37,13,34,33,39,0
219,35,13,31,29,36,0
220,32,11,28,25,22,0
221,28,7,27,20,14,0
222,24,2,24,15,10,0
223,20,1,21,8,6,0
224,14,3,21,6,16,0
225,13,7,22,5,19,0
226,13,10,26,5,27,0
227,14,14,27,6,31,0
228,17,20,27,9,39,0
229,18,22,29,10,46,0
230,20,31,33,11,63,0
231,21,33,33,17,66,0
232,25,44,36,21,90,0
233,33,49,40,24,100,0
234,34,56,48,25,117,0
235,34,59,53,26,125,0
236,34,55,52,26,105,0
237,34,53,51,26,101,0
238,33,48,45,20,86,0
239,30,49,43,19,86,0
240,30,49,43,19,90,0
241,31,50,41,20,95,0
242,32,53,40,22,102,0
243,33,57,42,22,114,0
244,33,60,44,23,123,0
245,34,61,45,23,132,0
246,35,62,45,24,134,0
248,36,66,45,24,141,0
249,36,67,45,26,149,0
250,38,69,45,26,153,0
251,38,69,46,26,158,0
252,38,66,46,25,152,0
253,37,65,42,25,150,0
254,38,64,39,25,149,0
256,38,65,39,25,148,0
257,38,64,37,25,143,0
258,38,64,36,25,142,0
259,38,64,36,25,140,0
260,38,64,36,24,140,0
261,38,61,34,23,127,0
262,37,59,33,22,124,0
263,36,58,29,21,118,0
264,37,61,29,22,126,0
265,37,62,32,22,129,0
266,37,63,33,22,133,0
267,38,63,31,23,134,0
268,38,66,31,26,141,0
269,42,70,31,29,149,0
270,45,75,34,32,164,0
271,46,78,39,32,174,0
272,46,81,43,33,183,0
273,47,81,43,33,186,0
274,47,81,44,33,186,0
275,47,85,42,33,188,0
276,47,87,42,33,189,0
277,46,92,45,33,193,0
278,45,94,45,31,198,0
280,46,95,45,31,202,0
281,46,94,44,32,202,0
282,47,92,42,32,190,0
283,47,90,42,32,185,0
284,47,88,38,31,175,0
285,47,86,35,31,175,0
286,47,86,35,31,178,0
287,47,87,33,31,179,0
288,47,87,34,31,181,0
289,48,86,34,32,181,0
290,48,86,32,32,180,0
291,49,86,32,33,179,0
292,49,85,30,33,177,0
293,50,85,29,34,179,0
295,51,87,29,36,182,0
296,53,88,29,38,187,0
297,54,90,30,40,190,0
298,56,94,33,42,201,0
299,57,95,35,43,203,0
300,58,97,38,44,208,0
301,59,97,39,44,207,0
302,59,97,38,44,205,0
303,59,95,37,44,198,0
304,58,93,36,44,194,0
305,58,90,33,43,181,0
306,57,88,31,41,176,0
307,56,86,29,40,169,0
308,56,85,27,39,171,0
309,56,84,26,39,172,0
310,55,84,26,39,171,0
311,55,84,26,39,164,0
312,56,83,24,39,161,0
313,56,82,23,39,155,0
314,56,81,22,38,154,0
315,55,81,22,37,154,0
316,55,81,22,37,153,0
317,55,80,21,37,152,0
318,55,80,19,37,156,0
319,55,80,19,37,158,0
320,55,81,20,38,160,0
321,56,83,20,39,163,0
322,56,85,21,39,164,0
323,57,86,21,40,171,0
324,58,87,22,40,175,0
325,58,88,23,41,178,0
326,58,88,23,41,179,0
327,58,88,23,41,178,0
328,58,88,23,41,177,0
329,58,87,23,41,170,0
330,58,87,22,41,165,0
331,58,85,21,40,156,0
332,58,84,21,40,148,0
333,58,82,19,39,142,0
334,57,81,18,39,136,0
335,57,81,17,38,135,0
336,57,82,17,38,138,0
337,57,84,18,38,143,0
338,57,84,19,38,146,0
339,57,84,18,38,146,0
340,57,84,18,38,144,0
341,57,83,17,38,143,0
342,57,83,16,37,141,0
343,57,83,16,37,140,0
344,57,83,16,37,140,0
345,57,83,15,37,138,0
346,57,82,15,37,132,0
347,57,75,14,36,126,0
348,56,72,12,34,119,0
349,54,65,7,28,116,0
351,51,67,7,29,127,0
352,53,71,10,31,141,0
353,54,74,11,32,150,0
354,55,76,14,33,161,0
355,55,78,17,33,166,0
356,55,78,19,33,171,0
357,55,79,18,34,172,0
358,56,80,18,35,175,0
359,57,82,18,37,182,0
360,60,85,19,40,189,0
361,61,88,23,42,196,0
362,62,90,26,43,202,0
363,63,90,27,44,202,0
364,64,91,27,45,203,0
365,64,91,27,45,205,0
366,64,92,27,46,207,0
367,65,92,27,48,209,0
368,66,92,26,49,211,0
369,67,93,26,49,212,0
370,67,98,26,49,214,0
371,67,100,27,48,218,0
372,67,107,30,49,224,0
373,69,109,33,52,228,0
374,70,111,36,53,233,0
375,70,111,38,54,234,0
376,71,111,37,54,235,0
377,71,111,37,56,237,0
379,74,113,37,59,243,0
380,74,113,39,60,246,0
381,75,114,39,61,247,0
383,77,115,39,62,250,0
384,77,115,39,64,249,0
385,78,115,39,64,248,0
386,78,115,39,64,248,0
387,78,115,38,64,250,0
388,78,115,37,65,249,0
389,79,115,37,65,247,0
390,79,115,36,65,244,0
391,79,114,35,65,239,0
392,79,113,34,65,239,0
393,79,112,33,64,234,0
394,78,111,32,64,232,0
395,78,111,32,64,230,0
396,78,110,29,64,229,0
397,78,109,29,64,228,0
398,78,109,28,64,226,0
399,79,108,27,65,228,0
400,79,109,27,67,229,0
401,81,111,28,68,235,0
402,81,111,29,68,236,0
403,81,111,30,70,237,0
404,82,111,29,70,237,0
405,83,111,29,70,236,0
406,83,111,29,70,234,0
407,84,111,28,72,234,0
408,84,113,28,73,240,0
409,85,114,28,73,241,0
410,85,114,30,73,242,0
411,85,114,29,73,241,0
412,85,113,28,75,242,0
413,88,115,28,77,248,0
414,88,117,28,78,250,0
415,88,119,30,78,257,0
416,88,119,32,78,257,0
417,88,118,31,78,253,0
418,88,117,30,78,247,0
419,88,116,29,78,244,0
420,88,115,27,78,240,0
421,89,114,26,78,240,0
422,89,114,25,79,246,0
423,89,115,25,79,248,0
424,89,115,26,79,255,0
425,89,115,26,79,256,0
426,89,116,25,79,259,0
427,89,116,25,79,254,0
428,89,116,27,79,251,0
429,89,115,26,79,244,0
430,89,115,26,79,245,0
431,89,115,26,79,253,0
432,89,115,29,79,254,0
433,90,115,29,79,256,0
434,90,116,28,80,258,0
